Keithley Instruments: Chronopotentiometry

System Parameters
Date/Time,Tue Apr 26 01:07:48 2022
Model,2450
Serial Number,04431893
Firmware,1.6.7c
Program Version,122148
EC Framework Version,1.0


Measurement Interval:,0.01,s/pt
VRange:,2

Step #1 Settings
Current,1e-06,A
Duration,500,s

Step #1 Quick Stats
49606,points recorded,,0.35327284618,V average
-0.11723709106,V minimum,,0.086111879634,V standard deviation
0.38489317894,V median,,500.03347426,s to run experiment
0.41768336296,V maximum

Raw Data

Step #1
Data Pt, Times (s), Current (A), Potential (V)
581,5.8474,1e-06,-0.040169715881
582,5.85746,1e-06,-0.040181159973
583,5.86753,1e-06,-0.039917945862
584,5.87761,1e-06,-0.039952278137
585,5.88768,1e-06,-0.03965473175
586,5.89776,1e-06,-0.039689064026
587,5.90783,1e-06,-0.039391040802
588,5.91791,1e-06,-0.039436817169
589,5.92799,1e-06,-0.039196491241
590,5.93806,1e-06,-0.039196491241
591,5.94814,1e-06,-0.038910388947
592,5.95822,1e-06,-0.038944721222
593,5.96829,1e-06,-0.038623809814
594,5.97836,1e-06,-0.038692951202
595,5.98844,1e-06,-0.038383483887
596,5.99852,1e-06,-0.038452148438
597,6.0086,1e-06,-0.038177490234
598,6.01867,1e-06,-0.038188934326
599,6.02874,1e-06,-0.037925720215
600,6.03881,1e-06,-0.037937164307
601,6.04891,1e-06,-0.037708282471
602,6.05899,1e-06,-0.037719726563
603,6.06906,1e-06,-0.037467479706
604,6.07913,1e-06,-0.037478923798
605,6.0892,1e-06,-0.037181377411
606,6.09927,1e-06,-0.037215709686
607,6.10936,1e-06,-0.036952495575
608,6.11943,1e-06,-0.036952495575
609,6.1295,1e-06,-0.036712169647
610,6.13957,1e-06,-0.036643028259
611,6.14965,1e-06,-0.036471366882
612,6.15973,1e-06,-0.036368370056
613,6.1698,1e-06,-0.036231040955
614,6.17987,1e-06,-0.03613948822
615,6.18995,1e-06,-0.035979270935
616,6.20001,1e-06,-0.035876274109
